sensitive_target,category,label,reachable,via_entry_point,path_length,path
android.content.ClipboardManager->getPrimaryClip,Clipboard,Clipboard.getPrimaryClip,Feasible,getClip,1,getClip -> android.content.ClipboardManager->getPrimaryClip
android.content.ContentResolver->query,ContentProvider,ContentResolver,Feasible,zzb,1,zzb -> android.content.ContentResolver->query
android.content.Intent->setData,URI,Intent.setData,Feasible,createManageUnusedAppRestrictionsIntent,1,createManageUnusedAppRestrictionsIntent -> android.content.Intent->setData
android.hardware.camera2.CameraCaptureSession$StateCallback-><init>,Camera,Camera2,Feasible,<init>,1,<init> -> android.hardware.camera2.CameraCaptureSession$StateCallback-><init>
android.hardware.camera2.CameraCaptureSession$StateCallback->onActive,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraCaptureSession$StateCallback->onActive
android.hardware.camera2.CameraCaptureSession$StateCallback->onClosed,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraCaptureSession$StateCallback->onClosed
android.hardware.camera2.CameraCaptureSession$StateCallback->onConfigureFailed,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraCaptureSession$StateCallback->onConfigureFailed
android.hardware.camera2.CameraCaptureSession$StateCallback->onConfigured,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraCaptureSession$StateCallback->onConfigured
android.hardware.camera2.CameraCaptureSession$StateCallback->onReady,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraCaptureSession$StateCallback->onReady
android.hardware.camera2.CameraDevice$StateCallback-><init>,Camera,Camera2,Feasible,<init>,1,<init> -> android.hardware.camera2.CameraDevice$StateCallback-><init>
android.hardware.camera2.CameraDevice$StateCallback->onClosed,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraDevice$StateCallback->onClosed
android.hardware.camera2.CameraDevice$StateCallback->onDisconnected,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraDevice$StateCallback->onDisconnected
android.hardware.camera2.CameraDevice$StateCallback->onError,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraDevice$StateCallback->onError
android.hardware.camera2.CameraDevice$StateCallback->onOpened,Camera,Camera2,Feasible,run,1,run -> android.hardware.camera2.CameraDevice$StateCallback->onOpened
android.location.LocationManager->getLastKnownLocation,Location,LocationManager,Feasible,getCurrentLocation,1,getCurrentLocation -> android.location.LocationManager->getLastKnownLocation
android.location.LocationManager->requestLocationUpdates,Location,LocationManager,Feasible,getCurrentLocation,1,getCurrentLocation -> android.location.LocationManager->requestLocationUpdates
android.net.Uri->parse,URI,Uri.parse,Feasible,parseUri,1,parseUri -> android.net.Uri->parse
android.provider.DocumentsContract->buildChildDocumentsUri,ContentProvider,AndroidProviderAPI,Feasible,buildChildDocumentsUri,1,buildChildDocumentsUri -> android.provider.DocumentsContract->buildChildDocumentsUri
