api_or_uri,category,label,kind,reachable,reached_from_entrypoint_class,reached_from_entrypoint_method,path_length,path,dfs_depth
androidx.compose.foundation.text.ContentResolverForSecureTextField->getShowPassword,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$platformAllowsRevealLastTyped$settingsObserver$1$1,onChange,1,androidx.compose.foundation.text.BasicSecureTextField_androidKt$platformAllowsRevealLastTyped$settingsObserver$1$1->onChange -> androidx.compose.foundation.text.ContentResolverForSecureTextField->getShowPassword,1
androidx.compose.foundation.text.ContentResolverForSecureTextField->registerContentObserver,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$$ExternalSyntheticLambda0,invoke,3,androidx.compose.foundation.text.BasicSecureTextField_androidKt$$ExternalSyntheticLambda0->invoke -> androidx.compose.foundation.text.BasicSecureTextField_androidKt->$r8$lambda$jL8k68I_4mpGPG388rNyJYXIlgU -> androidx.compose.foundation.text.BasicSecureTextField_androidKt->platformAllowsRevealLastTyped$lambda$7$lambda$6 -> androidx.compose.foundation.text.ContentResolverForSecureTextField->registerContentObserver,3
androidx.compose.foundation.text.ContentResolverForSecureTextField->unregisterContentObserver,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$platformAllowsRevealLastTyped$lambda$7$lambda$6$$inlined$onDispose$1,dispose,1,androidx.compose.foundation.text.BasicSecureTextField_androidKt$platformAllowsRevealLastTyped$lambda$7$lambda$6$$inlined$onDispose$1->dispose -> androidx.compose.foundation.text.ContentResolverForSecureTextField->unregisterContentObserver,1
androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1-><init>,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$$ExternalSyntheticLambda1,invoke,3,androidx.compose.foundation.text.BasicSecureTextField_androidKt$$ExternalSyntheticLambda1->invoke -> androidx.compose.foundation.text.BasicSecureTextField_androidKt->$r8$lambda$cpOR8B1QX8Pl1AFUhsIo1H_QAlc -> androidx.compose.foundation.text.BasicSecureTextField_androidKt->DefaultContentResolverForSecureTextField$lambda$8 -> androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1-><init>,3
androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1->getShowPassword,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1,getShowPassword,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1->getShowPassword,0
androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1->registerContentObserver,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1,registerContentObserver,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1->registerContentObserver,0
androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1->unregisterContentObserver,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1,unregisterContentObserver,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt$DefaultContentResolverForSecureTextField$1$1->unregisterContentObserver,0
androidx.compose.foundation.text.BasicSecureTextField_androidKt->DefaultContentResolverForSecureTextField$lambda$8,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt$$ExternalSyntheticLambda1,invoke,2,androidx.compose.foundation.text.BasicSecureTextField_androidKt$$ExternalSyntheticLambda1->invoke -> androidx.compose.foundation.text.BasicSecureTextField_androidKt->$r8$lambda$cpOR8B1QX8Pl1AFUhsIo1H_QAlc -> androidx.compose.foundation.text.BasicSecureTextField_androidKt->DefaultContentResolverForSecureTextField$lambda$8,2
androidx.compose.foundation.text.BasicSecureTextField_androidKt->getContentResolverForSecureTextField,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt,getContentResolverForSecureTextField,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt->getContentResolverForSecureTextField,0
androidx.compose.foundation.text.BasicSecureTextField_androidKt->getContentResolverForSecureTextField$annotations,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt,getContentResolverForSecureTextField$annotations,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt->getContentResolverForSecureTextField$annotations,0
androidx.compose.foundation.text.BasicSecureTextField_androidKt->resetContentResolverForSecureTextField,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt,resetContentResolverForSecureTextField,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt->resetContentResolverForSecureTextField,0
androidx.compose.foundation.text.BasicSecureTextField_androidKt->setContentResolverForSecureTextField,ContentResolver,ContentResolver,API,Feasible,androidx.compose.foundation.text.BasicSecureTextField_androidKt,setContentResolverForSecureTextField,0,androidx.compose.foundation.text.BasicSecureTextField_androidKt->setContentResolverForSecureTextField,0
androidx.compose.ui.graphics.GraphicsLayerElement->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.GraphicsLayerElement,getCameraDistance,0,androidx.compose.ui.graphics.GraphicsLayerElement->getCameraDistance,0
androidx.compose.ui.graphics.GraphicsLayerScope->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.node.NodeCoordinator,setMeasureResult$ui_release,4,androidx.compose.ui.node.NodeCoordinator->setMeasureResult$ui_release -> androidx.compose.ui.node.NodeCoordinator->onMeasureResultChanged -> androidx.compose.ui.node.NodeCoordinator->updateLayerParameters -> androidx.compose.ui.node.LayerPositionalProperties->copyFrom -> androidx.compose.ui.graphics.GraphicsLayerScope->getCameraDistance,4
androidx.compose.ui.graphics.ReusableGraphicsLayerScope->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.platform.RenderNodeLayer,updateLayerProperties,1,androidx.compose.ui.platform.RenderNodeLayer->updateLayerProperties -> androidx.compose.ui.graphics.ReusableGraphicsLayerScope->getCameraDistance,1
androidx.compose.ui.graphics.ReusableGraphicsLayerScope->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.node.NodeCoordinator,setMeasureResult$ui_release,4,androidx.compose.ui.node.NodeCoordinator->setMeasureResult$ui_release -> androidx.compose.ui.node.NodeCoordinator->onMeasureResultChanged -> androidx.compose.ui.node.NodeCoordinator->updateLayerParameters -> androidx.compose.ui.graphics.ReusableGraphicsLayerScope->reset -> androidx.compose.ui.graphics.ReusableGraphicsLayerScope->setCameraDistance,4
androidx.compose.ui.graphics.SimpleGraphicsLayerModifier->setCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.GraphicsLayerElement,update,1,androidx.compose.ui.graphics.GraphicsLayerElement->update -> androidx.compose.ui.graphics.SimpleGraphicsLayerModifier->setCameraDistance,1
androidx.compose.ui.graphics.layer.GraphicsLayer->getCameraDistance,Camera,Camera,API,Feasible,androidx.compose.ui.graphics.layer.GraphicsLayer,getCameraDistance,0,androidx.compose.ui.graphics.layer.GraphicsLayer->getCameraDistance,0
